Price,Year of Manufacture,Kilometer Driven,name,Showroom_Price
8500000,2017,1500.0,0,2000000.0
44800000,2024,600.0,1,37000000.0
55000000,2001,33333.0,2,7000000.0
35000000,2020,5000.0,3,25000000.0
73500000,2013,14000.0,4,12000000.0
34000000,2022,16590.0,5,22000000.0
31000000,2014,71600.0,6,27000000.0
6500000,2019,9999.0,7,11000000.0
7900000,2006,68.0,8,6000000.0
12800000,2012,0.0,8,6000000.0
31500000,2022,8000.0,9,29000000.0
3700000,2013,156464.0,0,4000000.0
7800000,2019,23456.0,10,7000000.0
34500000,2016,6868.0,11,26000000.0
5500000,2010,500000.0,12,7000000.0
35500000,2023,1.0,13,30000000.0
6900000,2012,80000.0,14,7000000.0
59500000,2023,15000.0,15,59000000.0
9000000,2016,50000.0,16,6000000.0
5700000,2015,123.0,16,7000000.0
16800000,2018,3838.0,17,15000000.0
8500000,2017,1500.0,0,2000000.0
79000000,2024,2000.0,18,77000000.0
79800000,2024,2000.0,18,77000000.0
26500000,2019,12345.0,19,20000000.0
35800000,2022,9000.0,1,31000000.0
36000000,2020,3838.0,20,32000000.0
45000000,2016,69000.0,18,45000000.0
14000000,2018,12345.0,17,15000000.0
23500000,2017,15000.0,21,18000000.0
35500000,2022,14.0,13,29000000.0
41000000,2024,2000.0,1,37000000.0
59800000,2018,15000.0,18,57000000.0
35500000,2020,17000.0,22,30000000.0
9500000,2017,41330.0,8,8000000.0
15200000,2008,123.0,23,9000000.0
10500000,2018,10000.0,24,13000000.0
15000000,2016,17000.0,25,18000000.0
39500000,2022,25000.0,20,33000000.0
10500000,2012,9898.0,9,14000000.0
9500000,1981,15000.0,2,7000000.0
18500000,2015,9.0,1,16000000.0
22500000,2020,17000.0,26,22000000.0
23500000,2019,24000.0,14,17000000.0
13500000,2013,9.0,19,11000000.0
26500000,2019,17000.0,19,20000000.0
7200000,2007,13579.0,7,7000000.0
14000000,2018,1234.0,24,13000000.0
12500000,2017,24000.0,8,8000000.0
10500000,2008,0.0,7,7000000.0
19500000,2014,24000.0,27,14000000.0
27000000,2017,30000.0,22,42000000.0
4300000,2011,24000.0,14,6000000.0
24500000,2017,24000.0,27,18000000.0
27500000,2019,15000.0,19,20000000.0
35000000,2021,19000.0,20,32000000.0
12500000,2001,25000.0,28,7000000.0
18500000,2004,45.0,23,8000000.0
1234567,2023,10.0,29,50000000.0
7900000,2017,8989.0,9,16000000.0
45000000,2015,12000.0,18,39000000.0
12500000,2010,100.0,30,22992708.333333332
31000000,2023,300.0,13,30000000.0
10500000,2013,55.0,27,12000000.0
21500000,2023,2000.0,31,17000000.0
27000000,2020,8000.0,19,21000000.0
27500000,2018,15.0,21,19000000.0
27000000,2020,16000.0,27,26000000.0
43500000,2024,1567.0,1,37000000.0
5500000,2008,99999.0,27,5000000.0
8900000,2012,9999.0,32,7000000.0
7000000,2011,32000.0,33,4000000.0
6500000,2010,9999.0,11,6000000.0
74800000,2019,18000.0,18,62000000.0
5200000,2014,12.0,16,6000000.0
23500000,2021,18.0,5,18000000.0
49500000,2022,1000.0,1,31000000.0
75000000,2011,25000.0,18,119000000.0
77500000,2020,9.0,2,21000000.0
61000000,2010,45000.0,9,42000000.0
43500000,2018,25.0,11,36000000.0
46000000,2019,11000.0,6,40000000.0
29500000,2022,18.0,5,22000000.0
19500000,2018,15000.0,17,15000000.0
17800000,2016,34.0,9,14000000.0
33500000,2015,21.0,11,23000000.0
9500000,2009,123.0,34,7000000.0
65000000,2023,15000.0,18,80000000.0
26500000,2024,7000.0,5,27000000.0
4300000,2010,10000.0,35,3000000.0
18500000,2018,21.0,17,15000000.0
13500000,2019,123.0,36,12000000.0
27500000,2018,18.0,37,41000000.0
13500000,2014,123.0,38,12000000.0
32500000,2020,20.0,20,32000000.0
30500000,2020,123.0,20,32000000.0
17500000,2013,1.0,9,13000000.0
67500000,2023,6521.0,18,80000000.0
21500000,2013,123.0,9,13000000.0
19500000,2015,21000.0,19,15000000.0
37500000,2021,123.0,39,106000000.0
17500000,2017,81.0,17,13000000.0
22500000,2016,24000.0,27,16000000.0
20700000,2017,19050.0,19,17000000.0
22500000,2019,123.0,38,21000000.0
27800000,2013,1234.0,9,13000000.0
33500000,2014,123.0,6,27000000.0
10900000,2021,10000.0,8,10000000.0
21500000,2015,19000.0,1,16000000.0
11500000,2019,26000.0,7,11000000.0
21500000,2014,123.0,9,14000000.0
32500000,2017,12000.0,40,24000000.0
49000000,2019,45000.0,41,50000000.0
25500000,2019,123.0,21,22000000.0
12200000,2019,12645.0,8,9000000.0
8800000,2011,12345.0,8,6000000.0
12000000,2012,34.0,1,9000000.0
17500000,2014,123.0,9,14000000.0
18500000,2007,123.0,23,14000000.0
10500000,2012,399.0,9,14000000.0
6900000,2009,20000.0,1,8000000.0
38500000,2023,16000.0,1,36000000.0
25500000,2019,18000.0,19,20000000.0
25500000,2019,18000.0,19,20000000.0
8500000,2010,12345.0,8,6000000.0
13500000,2017,13579.0,24,12000000.0
16800000,2023,8000.0,7,14000000.0
38500000,2023,14.0,20,36000000.0
5200000,2006,13579.0,8,6000000.0
8500000,2010,12000.0,42,7000000.0
25500000,2020,14.0,19,21000000.0
11000000,2015,13579.0,11,23000000.0
69800000,2024,1800.0,18,77000000.0
11000000,2006,15000.0,43,5000000.0
56000000,2017,18.0,18,56000000.0
10500000,2012,15000.0,42,6000000.0
25500000,2010,7000.0,44,16000000.0
12500000,1998,11111.0,2,13000000.0
26800000,2020,12000.0,9,22000000.0
10500000,2007,35000.0,1,7000000.0
38800000,2014,18000.0,18,37000000.0
12500000,2014,12000.0,14,8000000.0
3200000,2013,10000.0,2,8000000.0
59000000,2017,14.0,18,56000000.0
14500000,2013,35000.0,11,10000000.0
32500000,2023,11000.0,45,22000000.0
9200000,2020,10000.0,46,8000000.0
11000000,2015,18.0,14,9000000.0
11000000,2009,15000.0,12,6000000.0
12500000,2020,17000.0,10,6000000.0
32800000,2021,12000.0,20,32000000.0
29500000,2017,24000.0,47,24000000.0
9200000,2022,13000.0,48,9000000.0
32500000,2020,22222.0,20,32000000.0
21500000,2015,18.0,49,15000000.0
11000000,2008,35000.0,12,7000000.0
5500000,2010,21849.0,10,3000000.0
9800000,2012,284669.0,8,6000000.0
56500000,2018,30000.0,18,57000000.0
58500000,2022,12000.0,11,51000000.0
9500000,2008,60.0,7,7000000.0
16000000,2012,39000.0,9,14000000.0
20800000,2018,22000.0,9,16000000.0
26000000,2022,15000.0,7,14000000.0
18500000,2019,30000.0,17,15000000.0
45000000,2016,25000.0,18,45000000.0
31500000,2021,9600.0,20,32000000.0
5000000,2012,80000.0,50,4000000.0
25500000,2017,14600.0,1,20000000.0
17000000,2013,10000.0,9,13000000.0
12500000,2015,21300.0,14,9000000.0
40500000,2023,5000.0,1,36000000.0
20500000,2015,19600.0,1,16000000.0
35000000,2016,13900.0,6,30000000.0
9500000,2014,25300.0,11,17000000.0
9500000,2014,50000.0,34,7000000.0
71500000,2023,5000.0,18,80000000.0
12500000,2011,25880.0,1,10000000.0
3600000,2015,23671.0,16,7000000.0
26500000,2020,15000.0,3,25000000.0
37500000,2015,13000.0,51,13000000.0
12500000,2014,18000.0,11,17000000.0
25500000,2019,13000.0,9,20000000.0
27800000,2019,25000.0,1,24000000.0
43500000,2019,25000.0,6,40000000.0
41500000,2025,800.0,20,41000000.0
23500000,2019,20000.0,21,22000000.0
30800000,2020,25000.0,1,30000000.0
26800000,2019,20000.0,19,20000000.0
38000000,2014,50.0,18,37000000.0
54800000,2010,1.0,9,42000000.0
8500000,2017,1500.0,0,2000000.0
26500000,2001,10.0,52,60000000.0
3700000,2014,3000.0,16,6000000.0
36500000,2016,15.0,6,30000000.0
26500000,2018,12.0,27,23000000.0
24500000,2021,12.0,5,18000000.0
35500000,2022,3.0,9,29000000.0
33500000,2022,10.0,53,24000000.0
29500000,2023,10.0,45,22000000.0
64500000,2022,8.0,18,73000000.0
21500000,2017,12.0,49,16000000.0
5000000,2012,0.0,0,3000000.0
28500000,2013,20000.0,9,13000000.0
25686868,2003,6868.0,38,12000000.0
4700000,2009,13579.0,11,4000000.0
24000000,2020,60000.0,54,24000000.0
4500000,2024,13579.0,10,13000000.0
7500000,2008,18000.0,1,7000000.0
34500000,2018,1.0,20,40000000.0
70000000,2018,70000.0,18,57000000.0
26500000,2021,9.0,5,18000000.0
22500000,2012,12345.0,9,14000000.0
480000,2007,35000.0,9,35000000.0
12000000,2007,123.0,34,7000000.0
12800000,2020,15299.0,8,9000000.0
21000000,2017,15466.0,9,16000000.0
67000000,2022,1000.0,18,73000000.0
14500000,2023,15466.0,8,13000000.0
31500000,2014,1000.0,6,27000000.0
26500000,2019,15484.0,1,24000000.0
8200000,2010,12496.0,12,7000000.0
24500000,2021,16000.0,5,18000000.0
38500000,2021,15000.0,20,32000000.0
30500000,2019,16000.0,13,20000000.0
58000000,2019,14000.0,18,62000000.0
163000000,2019,17000.0,55,228000000.0
21000000,2025,2000.0,8,11000000.0
26000000,2018,20000.0,22,27000000.0
14900000,2020,30000.0,5,17000000.0
20000000,2017,18.0,14,17000000.0
5900000,2013,20000.0,14,7000000.0
36500000,2021,25000.0,1,32000000.0
19500000,2019,13000.0,17,15000000.0
38500000,2015,25000.0,18,39000000.0
9800000,2006,9.0,38,19000000.0
44000000,2015,25000.0,18,39000000.0
15500000,2010,12345.0,7,6000000.0
22500000,2017,9.0,9,16000000.0
62500000,2019,10.0,18,62000000.0
33000000,2018,7000.0,9,16000000.0
22500000,2014,1500.0,9,14000000.0
37000000,2023,10.0,13,30000000.0
35000000,2010,100000.0,9,42000000.0
60000000,2010,111203.0,9,42000000.0
15500000,2013,25000.0,9,13000000.0
12500000,2005,13579.0,38,16000000.0
11800000,2012,12999.0,1,9000000.0
35000000,2012,25000.0,28,13000000.0
11500000,2014,13579.0,19,11000000.0
26500000,2019,15000.0,1,24000000.0
