Price,Min_Price,Brand,Model,Year of Manufacture,Kilometer Driven,Địa điểm,Thời gian đăng
8.500.000 đ,2 triệu,SYM,Attila,2017,1500,"Phường Thuận Phước, Quận Hải Châu, Đà Nẵng",Đăng 10 giờ trước
44.800.000 đ,37 triệu,Honda,Air Blade,2024,600,"Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng",Đăng 7 ngày trước
55.000.000 đ,7 triệu,Honda,Cub,2001,33333,"Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",Đăng 24 ngày trước
35.000.000 đ,25 triệu,Honda,MSX 125,2020,5000,"Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",Đăng 1 giờ trước
73.500.000 đ,12 triệu,Honda,CB,2013,14000,"Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 2 giờ trước
34.000.000 đ,22 triệu,Honda,Winner X,2022,16590,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 2 giờ trước
31.000.000 đ,27 triệu,Honda,SH Mode,2014,71600,"Phường Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng",Đăng 3 giờ trước
6.500.000 đ,11 triệu,Honda,Wave,2019,9999,"Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",Đăng 4 giờ trước
7.900.000 đ,6 triệu,Yamaha,Sirius,2006,68,"Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng",Đăng 4 giờ trước
12.800.000 đ,6 triệu,Yamaha,Sirius,2012,0,"Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",Đăng 5 giờ trước
31.500.000 đ,29 triệu,Yamaha,Exciter,2022,8000,"Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",Đăng 5 giờ trước
3.700.000 đ,4 triệu,SYM,Attila,2013,156464,"Phường Hòa Phát, Quận Cẩm Lệ, Đà Nẵng",Đăng 5 giờ trước
7.800.000 đ,7 triệu,Hãng khác,Dòng khác,2019,23456,"Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",Đăng 5 giờ trước
34.500.000 đ,26 triệu,Piaggio,Vespa,2016,6868,"Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",Đăng 5 giờ trước
5.500.000 đ,7 triệu,Honda,Click,2010,500000,"Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",Đăng 5 giờ trước
35.500.000 đ,30 triệu,Honda,Scoopy,2023,1,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 6 giờ trước
6.900.000 đ,7 triệu,Piaggio,Liberty,2012,80000,"Phường An Khê, Quận Thanh Khê, Đà Nẵng",Đăng 6 giờ trước
59.500.000 đ,59 triệu,Yamaha,XSR,2023,15000,"Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng",NaN
9.000.000 đ,6 triệu,Yamaha,Nouvo,2016,50000,"Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",Đăng 6 giờ trước
5.700.000 đ,7 triệu,Yamaha,Nouvo,2015,123,"Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng",Đăng 6 giờ trước
16.800.000 đ,15 triệu,Honda,Winner,2018,3838,"Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng",Đăng 6 giờ trước
8.500.000 đ,2 triệu,SYM,Attila,2017,1500,"Phường Thuận Phước, Quận Hải Châu, Đà Nẵng",Đăng 10 giờ trước
79.000.000 đ,77 triệu,Honda,SH,2024,2000,"Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng",Đăng 4 ngày trước
79.800.000 đ,77 triệu,Honda,SH,2024,2000,"Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng",Đăng 12 ngày trước
26.500.000 đ,20 triệu,Honda,Vision,2019,12345,"Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng",NaN
35.800.000 đ,31 triệu,Honda,Air Blade,2022,9000,"Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng",Đăng 5 ngày trước
36.000.000 đ,32 triệu,Honda,Vario,2020,3838,"Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng",Đăng 7 giờ trước
45.000.000 đ,45 triệu,Honda,SH,2016,69000,"Phường Mân Thái, Quận Sơn Trà, Đà Nẵng",Đăng 7 giờ trước
14.000.000 đ,15 triệu,Honda,Winner,2018,12345,"Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",Đăng 7 giờ trước
