name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price
0,175000,2019,1,1,350,267815.0437899418
1,45000,2017,1,1,5650,68866.72554598504
2,150000,2018,1,1,12000,148114.0
3,65000,2015,1,1,23000,89643.0
4,20000,2011,1,0,21000,30607.43357599335
5,18000,2010,1,1,60000,53857.0
6,78500,2018,1,1,17000,87719.0
7,180000,2008,1,0,39000,275466.90218394017
8,30000,2010,1,1,32000,45911.150363990026
9,50000,2016,1,1,42000,60122.0
10,35000,2015,1,1,32000,78712.0
11,28000,2016,1,0,10000,47255.0
12,80000,2018,1,1,21178,95955.0
13,365000,2019,1,1,1127,351680.0
14,185000,2020,1,1,1700,283118.76057793846
15,25000,2012,1,1,55000,58314.0
16,25000,2006,1,1,27000,38259.29196999169
17,40000,2010,1,0,45000,117926.0
2,150000,2018,1,1,23000,148114.0
18,120000,2018,1,1,39000,132680.0
19,15000,2008,1,1,60000,22955.575181995013
20,26000,2016,1,1,17450,44389.0
21,32000,2013,1,0,20696,53900.0
22,180000,2019,1,1,2000,275466.90218394017
23,110000,2016,1,1,20000,168340.88466796343
24,25000,2012,1,1,35000,56147.0
25,80000,2018,1,1,15210,122429.7343039734
20,42000,2017,1,1,24000,44389.0
26,40000,2013,1,0,35000,84751.0
27,21000,2009,1,1,10000,32137.805254793017
28,55000,2017,1,1,2500,61600.0
29,38000,2013,1,1,75000,79432.0
30,43000,2016,1,0,50000,78350.0
31,65000,2018,1,1,27000,99474.15912197839
32,62000,2019,1,1,10000,71049.0
33,60000,2018,1,1,6502,57557.0
28,45000,2018,1,1,21000,61600.0
34,120000,2016,1,1,16000,202310.0
35,30000,2011,1,1,42000,45911.150363990026
23,90000,2015,1,0,13000,137733.45109197008
36,125000,2017,1,1,12800,191296.45984995842
37,50000,2018,1,1,20000,71150.0
38,175000,2017,1,1,4600,267815.0437899418
39,28000,2012,1,1,81000,56750.0
40,85000,2018,1,1,8000,84042.0
41,29900,2016,1,1,55000,69750.0
9,25000,2011,1,1,57000,60122.0
10,30000,2009,1,0,26000,78712.0
42,60000,2018,1,1,13000,59844.0
10,35000,2012,1,0,29000,78712.0
43,25000,2010,1,1,43000,42859.0
44,30000,2015,1,1,40000,73413.0
45,90000,2010,1,0,40000,137733.45109197008
46,35000,2015,1,0,24000,49900.0
33,70000,2019,1,1,3000,59422.0
47,25000,2006,1,1,75000,38259.29196999169
48,25000,2010,1,1,42000,38259.29196999169
49,90000,2014,1,1,13000,137733.45109197008
9,25000,2013,1,1,55000,57549.0
50,42000,2011,1,1,23000,64275.61050958603
46,35000,2015,1,0,24000,51994.0
30,50000,2014,1,1,80000,80350.0
51,30000,2015,1,1,39000,54605.0
10,48000,2016,1,1,20000,78712.0
6,65000,2016,1,1,30000,88161.0
23,85000,2013,1,1,21000,130081.59269797173
52,45000,2014,1,1,41000,78513.0
53,34000,2014,1,1,8000,50098.0
54,90000,2008,1,1,50000,137733.45109197008
55,35000,2012,1,1,8150,53563.00875798836
56,165000,2017,1,1,1933,195500.0
57,35000,2013,1,1,55750,53563.00875798836
58,65000,2015,1,1,15856,92074.0
48,29500,2013,1,1,27000,45145.96452459019
59,165000,2019,1,1,3700,164004.0
60,95000,2018,1,1,21938,145385.3094859684
61,50000,2010,1,1,48000,76518.58393998338
1,7500,2009,1,0,16000,11477.787590997506
62,25000,2008,1,1,54000,38259.29196999169
63,35000,2014,1,0,35000,53563.00875798836
59,160000,2018,1,1,15000,244859.4686079468
64,50000,2014,1,1,32000,74295.0
33,62000,2019,1,1,3500,57557.0
5,30000,2013,1,1,9000,53857.0
46,28000,2015,1,1,38000,49642.0
65,25000,2009,1,1,50000,38259.29196999169
66,30000,2015,1,0,20000,51112.0
2,140000,2018,1,1,22000,148114.0
67,30000,2017,1,1,9432,53751.0
68,25000,2014,1,1,70000,38259.29196999169
15,22000,2010,1,0,43000,58314.0
69,22989,2012,1,1,500000,50267.0
70,42000,2016,1,1,30514,61653.0
71,30000,2010,1,1,130000,70851.0
72,55000,2015,1,1,45000,84170.44233398171
73,45000,2018,1,1,25000,53079.0
18,150000,2019,1,1,2500,133680.0
48,42000,2015,1,1,22770,64275.61050958603
63,30000,2015,1,1,30000,45911.150363990026
43,24999,2012,1,0,35000,42859.0
59,160000,2019,1,1,6330,244859.4686079468
0,175000,2020,1,1,500,267815.0437899418
48,40000,2013,1,1,43400,61214.8671519867
74,85000,2018,1,1,7004,130081.59269797173
75,150000,2017,1,1,16500,181445.0
76,80000,2018,1,1,12500,122429.7343039734
77,95000,2018,1,1,9600,145385.3094859684
78,42000,2016,1,1,35000,65626.0
79,40000,2019,1,1,11000,61214.8671519867
40,50000,2015,1,1,20000,84042.0
80,40000,2018,1,1,13000,61214.8671519867
81,75000,2019,1,1,3500,114777.87590997506
18,120000,2017,1,1,9000,132680.0
16,30000,2008,1,1,7500,45911.150363990026
82,17500,2013,1,1,38000,58438.0
47,7500,2004,1,1,120000,11477.787590997506
83,57000,2018,1,1,6465,61118.0
84,80000,2018,1,1,18803,122429.7343039734
55,18000,2010,1,1,20000,27546.690218394015
85,25000,2013,1,1,24000,75936.0
23,83900,2014,1,0,22000,128398.18385129211
86,160000,2018,1,1,7000,180525.0
2,135000,2018,1,1,6100,148114.0
6,55000,2017,1,1,14000,87543.0
87,50000,2017,1,1,23000,76518.58393998338
43,20000,2012,1,1,85000,42859.0
8,25000,2010,1,1,40000,38259.29196999169
0,125000,2017,1,1,18000,191296.45984995842
33,55000,2019,1,1,10000,57557.0
88,50000,2016,1,1,40000,80435.0
89,299000,2019,1,1,1500,457581.13196110056
51,60000,2015,1,1,30000,54605.0
51,40000,2015,1,1,3000,54605.0
90,15000,2008,1,1,55000,85011.0
91,750000,2013,1,0,12000,1278000.0
8,20000,2007,1,1,90000,30607.43357599335
2,190000,2020,1,1,500,155740.0
92,130000,2015,1,1,50000,202127.0
6,54786,2016,1,1,25000,88161.0
93,72000,2013,1,1,36500,110186.76087357606
94,35000,2013,1,1,26000,86744.0
28,45000,2017,1,1,18000,61600.0
0,85000,2013,1,1,49000,130081.59269797173
95,100000,2013,1,1,18000,156304.0
36,138000,2017,1,1,15000,211191.2916743541
59,150000,2018,1,1,8500,229555.75181995012
96,180000,2017,1,1,3775,275466.90218394017
23,100000,2015,1,1,14500,153037.16787996676
52,20000,2010,1,1,35000,78513.0
38,170000,2017,1,1,14000,260163.18539594347
97,60000,2016,1,1,16000,84246.0
49,123000,2016,1,1,7000,188235.7164923591
98,60000,2017,1,1,4000,91822.30072798005
77,100000,2017,1,1,45000,153037.16787996676
30,22000,2014,1,1,99000,78350.0
69,30000,2014,1,1,52000,50267.0
9,28000,2013,1,1,45000,60122.0
48,50000,2007,1,1,52000,76518.58393998338
99,40000,2017,1,1,27000,49521.0
80,43000,2018,1,1,60000,65805.98218838571
98,40000,2015,1,1,2300,61214.8671519867
75,100000,2012,1,1,15000,181445.0
80,30000,2016,1,1,50000,45911.150363990026
100,130000,2017,1,1,27000,198948.31824395678
6,48000,2016,1,0,25000,88161.0
101,32000,2017,1,1,40000,48971.89372158936
102,23000,2010,1,1,32000,35198.548612392355
103,20000,2010,1,0,50000,64589.0
0,125000,2017,1,1,36000,191296.45984995842
20,23000,2016,1,1,17450,44389.0
9,15000,2011,1,1,32000,57549.0
104,35000,2015,1,1,38000,69983.0
105,25000,2014,1,0,71000,54299.0
48,80000,2019,1,1,8000,122429.7343039734
